Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A14001_001,SE_A14001_002,SE_A14001_003,SE_A14001_004,SE_A14001_005,SE_A14001_006,SE_A14001_007,SE_A14001_008,SE_A14001_009,SE_A14001_010,SE_A14001_011,SE_A14001_012,SE_A14001_013,SE_A14001_014,SE_A14001_015,SE_A14001_016,SE_A14001_017
"42101028800","Census Tract 288, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009085",,,,,"42","101",,,"028800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101028800","Census Tract 288",,,,1708,188,190,27,65,204,60,95,0,73,169,169,64,49,198,157,0
"42101028901","Census Tract 289.01, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009086",,,,,"42","101",,,"028901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101028901","Census Tract 289.01",,,,1335,212,83,80,98,127,57,73,158,8,111,34,156,43,33,10,52
"42101028902","Census Tract 289.02, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009087",,,,,"42","101",,,"028902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101028902","Census Tract 289.02",,,,2087,171,20,494,20,238,193,204,72,92,153,249,105,15,0,26,35
"42101029000","Census Tract 290, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009088",,,,,"42","101",,,"029000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101029000","Census Tract 290",,,,2112,104,195,127,68,189,176,73,402,0,181,195,155,104,89,0,54
"42101029100","Census Tract 291, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009089",,,,,"42","101",,,"029100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101029100","Census Tract 291",,,,1704,196,90,515,67,45,117,54,92,12,80,126,72,95,14,107,22
"42101029200","Census Tract 292, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009090",,,,,"42","101",,,"029200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101029200","Census Tract 292",,,,1399,33,81,44,9,37,155,28,68,0,144,204,185,204,93,49,65
"42101029300","Census Tract 293, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009091",,,,,"42","101",,,"029300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101029300","Census Tract 293",,,,1187,91,189,162,107,72,0,49,0,0,160,104,28,211,0,0,14
"42101029400","Census Tract 294, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009092",,,,,"42","101",,,"029400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101029400","Census Tract 294",,,,1343,304,127,102,260,14,114,42,56,117,82,41,38,46,0,0,0
"42101029800","Census Tract 298, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009093",,,,,"42","101",,,"029800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101029800","Census Tract 298",,,,1948,236,181,88,120,126,178,152,203,45,44,174,246,54,71,14,16
"42101029900","Census Tract 299, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009094",,,,,"42","101",,,"029900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101029900","Census Tract 299",,,,1449,130,145,247,139,109,62,18,43,50,108,147,136,23,53,0,39
