Geo_FIPS,Geo_SL040_FIPS,Geo_SL050_FIPS,Geo_SL140_FIPS,Geo_GISJOIN,Geo_GISJOIN2,Geo_state,Geo_county,Geo_prefix,Geo_tract,Geo_suffix,Geo_SUMLEV,Geo_SL040_Name,Geo_SL050_Name,Geo_Name,Geo_LongName,Geo_QName,Geo_QName2,Geo_seq,Geo_NHGISST,Geo_NHGISCTY,Geo_areatotal,Geo_shape_area,Geo_shape_len,Geo_year,SE_T009_001,SE_T009_002,SE_T009_003,SE_T009_004,PCT_SE_T009_002,PCT_SE_T009_003,PCT_SE_T009_004,SE_T010_001,SE_T010_002,SE_T010_003,PCT_SE_T010_002,PCT_SE_T010_003,SE_T001_001
"4210103310000",42,101,"03310000","G42010100033J","42010100033J","42","101",,"33","J","140","Pennsylvania","Philadelphia","33J","Census Tract 33J","Census Tract 33J, Philadelphia County, Pennsylvania","Census Tract 33J, Philadelphia County, Pennsylvania","170","420","1010",0.3339533213,864935.130449,4005.712232,"1940",13703,13701,0,2,99.99,0,0.01,13703,13701,2,99.99,0.01,13703
"4210103311000",42,101,"03311000","G42010100033K","42010100033K","42","101",,"33","K","140","Pennsylvania","Philadelphia","33K","Census Tract 33K","Census Tract 33K, Philadelphia County, Pennsylvania","Census Tract 33K, Philadelphia County, Pennsylvania","171","420","1010",0.046029408,119215.619277,1709.984218,"1940",2622,2620,0,2,99.92,0,0.08,2622,2620,2,99.92,0.08,2622
"4210103401000",42,101,"03401000","G42010100034A","42010100034A","42","101",,"34","A","140","Pennsylvania","Philadelphia","34A","Census Tract 34A","Census Tract 34A, Philadelphia County, Pennsylvania","Census Tract 34A, Philadelphia County, Pennsylvania","172","420","1010",0.3901664825,1010526.54951,4544.242234,"1940",2167,2133,33,1,98.43,1.52,0.05,2167,2133,34,98.43,1.57,2167
"4210103402000",42,101,"03402000","G42010100034B","42010100034B","42","101",,"34","B","140","Pennsylvania","Philadelphia","34B","Census Tract 34B","Census Tract 34B, Philadelphia County, Pennsylvania","Census Tract 34B, Philadelphia County, Pennsylvania","173","420","1010",0.1953065669,505841.685502,3064.141396,"1940",1445,1387,58,0,95.99,4.01,0,1445,1387,58,95.99,4.01,1445
"4210103403000",42,101,"03403000","G42010100034C","42010100034C","42","101",,"34","C","140","Pennsylvania","Philadelphia","34C","Census Tract 34C","Census Tract 34C, Philadelphia County, Pennsylvania","Census Tract 34C, Philadelphia County, Pennsylvania","174","420","1010",0.3162132529,818988.564326,4136.451734,"1940",1454,1364,90,0,93.81,6.19,0,1454,1364,90,93.81,6.19,1454
"4210103404000",42,101,"03404000","G42010100034D","42010100034D","42","101",,"34","D","140","Pennsylvania","Philadelphia","34D","Census Tract 34D","Census Tract 34D, Philadelphia County, Pennsylvania","Census Tract 34D, Philadelphia County, Pennsylvania","175","420","1010",0.1653554502,428268.649535,2832.747139,"1940",3499,3458,40,1,98.83,1.14,0.03,3499,3458,41,98.83,1.17,3499
"4210103405000",42,101,"03405000","G42010100034E","42010100034E","42","101",,"34","E","140","Pennsylvania","Philadelphia","34E","Census Tract 34E","Census Tract 34E, Philadelphia County, Pennsylvania","Census Tract 34E, Philadelphia County, Pennsylvania","176","420","1010",0.2663173394,689758.741885,4489.879115,"1940",5175,5099,76,0,98.53,1.47,0,5175,5099,76,98.53,1.47,5175
"4210103406000",42,101,"03406000","G42010100034F","42010100034F","42","101",,"34","F","140","Pennsylvania","Philadelphia","34F","Census Tract 34F","Census Tract 34F, Philadelphia County, Pennsylvania","Census Tract 34F, Philadelphia County, Pennsylvania","177","420","1010",0.2597377775,672717.754836,4200.560333,"1940",7679,7583,96,0,98.75,1.25,0,7679,7583,96,98.75,1.25,7679
"4210103407000",42,101,"03407000","G42010100034G","42010100034G","42","101",,"34","G","140","Pennsylvania","Philadelphia","34G","Census Tract 34G","Census Tract 34G, Philadelphia County, Pennsylvania","Census Tract 34G, Philadelphia County, Pennsylvania","178","420","1010",0.3988104095,1032914.21774,4872.244607,"1940",11,11,0,0,100,0,0,11,11,0,100,0,11
"4210103408000",42,101,"03408000","G42010100034H","42010100034H","42","101",,"34","H","140","Pennsylvania","Philadelphia","34H","Census Tract 34H","Census Tract 34H, Philadelphia County, Pennsylvania","Census Tract 34H, Philadelphia County, Pennsylvania","179","420","1010",0.3287392437,851430.731564,3834.702044,"1940",15457,13524,1931,2,87.49,12.49,0.01,15457,13524,1933,87.49,12.51,15457
"4210103409000",42,101,"03409000","G42010100034I","42010100034I","42","101",,"34","I","140","Pennsylvania","Philadelphia","34I","Census Tract 34I","Census Tract 34I, Philadelphia County, Pennsylvania","Census Tract 34I, Philadelphia County, Pennsylvania","180","420","1010",0.5571522649,1443017.74006,5547.169881,"1940",19999,18056,1927,16,90.28,9.64,0.08,19999,18056,1943,90.28,9.72,19999
"4210103410000",42,101,"03410000","G42010100034J","42010100034J","42","101",,"34","J","140","Pennsylvania","Philadelphia","34J","Census Tract 34J","Census Tract 34J, Philadelphia County, Pennsylvania","Census Tract 34J, Philadelphia County, Pennsylvania","181","420","1010",0.2467533643,639088.27903,3683.243617,"1940",2892,2790,102,0,96.47,3.53,0,2892,2790,102,96.47,3.53,2892
"4210103411000",42,101,"03411000","G42010100034K","42010100034K","42","101",,"34","K","140","Pennsylvania","Philadelphia","34K","Census Tract 34K","Census Tract 34K, Philadelphia County, Pennsylvania","Census Tract 34K, Philadelphia County, Pennsylvania","182","420","1010",0.079623478,206223.861204,1997.730637,"1940",101,90,11,0,89.11,10.89,0,101,90,11,89.11,10.89,101
