File identification,State Postal Abbreviation,Summary Level,Geographic Component,Logical Record Number,US,Census Region,Census Division,State (Census Code),State (FIPS Code),County of current residence,County Subdivision (FIPS),Place (FIPS Code),Census Tract,Block Group,Consolidated City,American Indian Area/AlaskaNative Area/ Hawaiian Home Land(Census),American Indian Area/AlaskaNative Area/ Hawaiian Home Land(FIPS),American Indian Trust Land/Hawaiian Home Land Indicator,American Indian TribalSubdivision (Census),American Indian TribalSubdivision (FIPS),Alaska Native RegionalCorporation (FIPS),Metropolitan and MicropolitanStatistical Area,Combined Statistical Area,Metropolitan Statistical Area-Metropolitan Division,Metropolitan Area Central City,Metropolitan/MicropolitanIndicator Flag,New England City and Town Area,New England City and TownCombined Statistical Area,New England City and Town AreaDivision,Urban Area,Current Congressional District ***,State Legislative District Upper,State Legislative District Lower,5-digit ZIP Code Tabulation Area,Subminor Civil Division (FIPS),State-School District (Elementary),State-School District (Secondary),State-School District (Unified),Urban/Rural,Principal City Indicator,Public Use Microdata Area – 5%File,Geographic Identifier,Area Name,Tribal Tract,Tribal Block Group,Qualifying Name,FIPS,Area (Land),Area (Water),Place (State FIPS + Place FIPS),Urban Area Central Place,Voting District,ZIP Code Tabulation Area (3-digit),Traffic Analysis Zone,Urban Growth Area,Public Use Microdata Area - 1% File,Median Year Structure Built,Owner Occupied Housing Units,"Owner Occupied Housing Units: White Alone, Not Hispanic or Latino Homeowners ",Owner Occupied Housing Units: Non-White Homeowners,"% Owner Occupied Housing Units: White Alone, Not Hispanic or Latino Homeowners ",% Owner Occupied Housing Units: Non-White Homeowners,Owner-Occupied Housing Units,Housing Units,Households:,Households: with a Householder Who Is White Alone,Households: with a Householder Who Is Black or African  American Alone,Households: with a Householder Who Is American Indian and  Alaska Native Alone,Households: with a Householder Who Is Asian Alone,Households: with a Householder Who Is Native Hawaiian and  Other Pacific Islander Alone,Households: with a Householder Who Is Some Other Race Alone,Households: with a Householder Who Is Two or More Races,Households: with a Householder Who Is Hispanic or Latino,"Households: with a Householder Who Is White Alone, Not  Hispanic or Latino",% Households: with a Householder Who Is White Alone,% Households: with a Householder Who Is Black or African  American Alone,% Households: with a Householder Who Is American Indian and  Alaska Native Alone,% Households: with a Householder Who Is Asian Alone,% Households: with a Householder Who Is Native Hawaiian and  Other Pacific Islander Alone,% Households: with a Householder Who Is Some Other Race Alone,% Households: with a Householder Who Is Two or More Races,% Households: with a Householder Who Is Hispanic or Latino,"% Households: with a Householder Who Is White Alone, Not  Hispanic or Latino",Renter-Occupied Housing Units,Renter-Occupied Housing Units: White Alone Householder,Renter-Occupied Housing Units: Black or African American Alone Householder,Renter-Occupied Housing Units: American Indian and Alaska Native Alone Householder,Renter-Occupied Housing Units: Asian Alone Householder,Renter-Occupied Housing Units: Native Hawaiian and Other Pacific Islander Alone Householder,Renter-Occupied Housing Units: Some Other Race Alone Householder,Renter-Occupied Housing Units: Two or More Races Householder,"Renter-Occupied Housing Units: White Alone, Not Hispanic or Latino Householder",Renter-Occupied Housing Units: Hispanic or Latino Householder,% Renter-Occupied Housing Units: White Alone Householder,% Renter-Occupied Housing Units: Black or African American Alone Householder,% Renter-Occupied Housing Units: American Indian and Alaska Native Alone Householder,% Renter-Occupied Housing Units: Asian Alone Householder,% Renter-Occupied Housing Units: Native Hawaiian and Other Pacific Islander Alone Householder,% Renter-Occupied Housing Units: Some Other Race Alone Householder,% Renter-Occupied Housing Units: Two or More Races Householder,"% Renter-Occupied Housing Units: White Alone, Not Hispanic or Latino Householder",% Renter-Occupied Housing Units: Hispanic or Latino Householder
ACSSF,pa,140,0,8897,,,,,42,101,,,8602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101008602,Census Tract 86.02,,,"Census Tract 86.02, Philadelphia County, Pennsylvania",42101008602,369141,0,,,,,,,,1953,204,47,157,23.04,76.96,204,1764,1543,454,971,0,100,0,4,14,25,442,29.42,62.93,0,6.48,0,0.26,0.91,1.62,28.65,1339,407,877,0,51,0,4,0,395,25,30.4,65.5,0,3.81,0,0.3,0,29.5,1.87
ACSSF,pa,140,0,8898,,,,,42,101,,,8701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101008701,Census Tract 87.01,,,"Census Tract 87.01, Philadelphia County, Pennsylvania",42101008701,259543,0,,,,,,,,0,267,87,180,32.58,67.42,267,2058,1773,1011,182,20,426,0,16,118,51,976,57.02,10.27,1.13,24.03,0,0.9,6.66,2.88,55.05,1506,903,182,0,341,0,16,64,889,30,59.96,12.08,0,22.64,0,1.06,4.25,59.03,1.99
ACSSF,pa,140,0,8899,,,,,42,101,,,8702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101008702,Census Tract 87.02,,,"Census Tract 87.02, Philadelphia County, Pennsylvania",42101008702,283544,0,,,,,,,,0,144,124,20,86.11,13.89,144,1868,1589,752,179,0,397,0,138,123,166,752,47.33,11.26,0,24.98,0,8.68,7.74,10.45,47.33,1445,628,179,0,388,0,127,123,628,166,43.46,12.39,0,26.85,0,8.79,8.51,43.46,11.49
ACSSF,pa,140,0,8900,,,,,42,101,,,8801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101008801,Census Tract 88.01,,,"Census Tract 88.01, Philadelphia County, Pennsylvania",42101008801,184674,0,,,,,,,,2014,0,0,0,,,0,553,356,158,0,0,156,0,29,13,64,123,44.38,0,0,43.82,0,8.15,3.65,17.98,34.55,356,158,0,0,156,0,29,13,123,64,44.38,0,0,43.82,0,8.15,3.65,34.55,17.98
ACSSF,pa,140,0,8901,,,,,42,101,,,8802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101008802,Census Tract 88.02,,,"Census Tract 88.02, Philadelphia County, Pennsylvania",42101008802,395055,0,,,,,,,,1952,92,0,92,0,100,92,1892,1406,516,343,0,542,0,0,5,111,405,36.7,24.4,0,38.55,0,0,0.36,7.89,28.81,1314,516,280,0,513,0,0,5,405,111,39.27,21.31,0,39.04,0,0,0.38,30.82,8.45
ACSSF,pa,140,0,8902,,,,,42,101,,,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101009000,Census Tract 90,,,"Census Tract 90, Philadelphia County, Pennsylvania",42101009000,525631,0,,,,,,,,1951,97,87,10,89.69,10.31,97,1421,1202,898,80,0,173,0,24,27,77,851,74.71,6.66,0,14.39,0,2,2.25,6.41,70.8,1105,811,76,0,173,0,24,21,764,71,73.39,6.88,0,15.66,0,2.17,1.9,69.14,6.43
ACSSF,pa,140,0,8903,,,,,42,101,,,9100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101009100,Census Tract 91,,,"Census Tract 91, Philadelphia County, Pennsylvania",42101009100,425574,0,,,,,,,,1953,262,177,85,67.56,32.44,262,2119,1641,574,533,0,446,0,34,54,133,486,34.98,32.48,0,27.18,0,2.07,3.29,8.1,29.62,1379,397,448,0,446,0,34,54,309,133,28.79,32.49,0,32.34,0,2.47,3.92,22.41,9.64
ACSSF,pa,140,0,8904,,,,,42,101,,,9200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101009200,Census Tract 92,,,"Census Tract 92, Philadelphia County, Pennsylvania",42101009200,512010,0,,,,,,,,1957,555,68,487,12.25,87.75,555,1741,1487,387,855,20,157,0,15,53,54,363,26.03,57.5,1.34,10.56,0,1.01,3.56,3.63,24.41,932,319,475,20,68,0,15,35,295,54,34.23,50.97,2.15,7.3,0,1.61,3.76,31.65,5.79
ACSSF,pa,140,0,8905,,,,,42,101,,,9300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101009300,Census Tract 93,,,"Census Tract 93, Philadelphia County, Pennsylvania",42101009300,401596,0,,,,,,,,0,1308,38,1270,2.91,97.09,1308,2602,2156,91,1927,0,74,0,6,58,28,91,4.22,89.38,0,3.43,0,0.28,2.69,1.3,4.22,848,53,691,0,53,0,6,45,53,28,6.25,81.49,0,6.25,0,0.71,5.31,6.25,3.3
ACSSF,pa,140,0,8906,,,,,42,101,,,9400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101009400,Census Tract 94,,,"Census Tract 94, Philadelphia County, Pennsylvania",42101009400,366714,0,,,,,,,,1945,571,17,554,2.98,97.02,571,2126,1803,50,1660,0,0,0,13,80,60,36,2.77,92.07,0,0,0,0.72,4.44,3.33,2,1232,33,1112,0,0,0,13,74,19,52,2.68,90.26,0,0,0,1.06,6.01,1.54,4.22
ACSSF,pa,140,0,8907,,,,,42,101,,,9500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101009500,Census Tract 95,,,"Census Tract 95, Philadelphia County, Pennsylvania",42101009500,319094,0,,,,,,,,1942,626,0,626,0,100,626,1772,1569,0,1569,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,943,0,943,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
ACSSF,pa,140,0,8908,,,,,42,101,,,9600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101009600,Census Tract 96,,,"Census Tract 96, Philadelphia County, Pennsylvania",42101009600,405273,0,,,,,,,,0,831,0,831,0,100,831,2226,1553,0,1478,0,0,50,25,0,75,0,0,95.17,0,0,3.22,1.61,0,4.83,0,722,0,672,0,0,50,0,0,0,50,0,93.07,0,0,6.93,0,0,0,6.93
ACSSF,pa,140,0,8909,,,,,42,101,,,9801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101009801,Census Tract 98.01,,,"Census Tract 98.01, Philadelphia County, Pennsylvania",42101009801,297978,0,,,,,,,,1953,640,46,594,7.19,92.81,640,1109,1051,105,907,0,20,0,0,19,0,105,9.99,86.3,0,1.9,0,0,1.81,0,9.99,411,59,337,0,0,0,0,15,59,0,14.36,82,0,0,0,0,3.65,14.36,0
ACSSF,pa,140,0,8910,,,,,42,101,,,9802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101009802,Census Tract 98.02,,,"Census Tract 98.02, Philadelphia County, Pennsylvania",42101009802,613208,0,,,,,,,,1953,1614,127,1487,7.87,92.13,1614,2319,2107,195,1820,0,0,0,0,92,81,154,9.25,86.38,0,0,0,0,4.37,3.84,7.31,493,46,407,0,0,0,0,40,27,59,9.33,82.56,0,0,0,0,8.11,5.48,11.97
