"File identification","State Postal Abbreviation","Summary Level","Geographic Component","Logical Record Number","US","Census Region","Census Division","State (Census Code)","State (FIPS Code)","County of current residence","County Subdivision (FIPS)","Place (FIPS Code)","Census Tract","Block Group","Consolidated City","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(Census)","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian TribalSubdivision (Census)","American Indian TribalSubdivision (FIPS)","Alaska Native RegionalCorporation (FIPS)","Metropolitan and MicropolitanStatistical Area","Combined Statistical Area","Metropolitan Statistical Area-Metropolitan Division","Metropolitan Area Central City","Metropolitan/MicropolitanIndicator Flag","New England City and Town Area","New England City and TownCombined Statistical Area","New England City and Town AreaDivision","Urban Area","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","5-digit ZIP Code Tabulation Area","Subminor Civil Division (FIPS)","State-School District (Elementary)","State-School District (Secondary)","State-School District (Unified)","Urban/Rural","Principal City Indicator","Public Use Microdata Area – 5%File","Geographic Identifier","Area Name","Tribal Tract","Tribal Block Group","Qualifying Name","FIPS","Area (Land)","Area (Water)","Place (State FIPS + Place FIPS)","Urban Area Central Place","Voting District","ZIP Code Tabulation Area (3-digit)","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area - 1% File","Median Year Structure Built"
Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_QName,Geo_FIPS,Geo_AREALAND,Geo_AREAWATR,Geo_PLACESE,Geo_UACP,Geo_VTD,Geo_ZCTA3,Geo_TAZ,Geo_UGA,Geo_PUMA1,SE_A10057_001
"ACSSF","pa","140","00","0008826",,,,,"42","101",,,"001101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101001101","Census Tract 11.01",,,"Census Tract 11.01, Philadelphia County, Pennsylvania","42101001101","174011","0",,,,,,,,1942
"ACSSF","pa","140","00","0008827",,,,,"42","101",,,"001102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101001102","Census Tract 11.02",,,"Census Tract 11.02, Philadelphia County, Pennsylvania","42101001102","204063","0",,,,,,,,0
"ACSSF","pa","140","00","0008828",,,,,"42","101",,,"001201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101001201","Census Tract 12.01",,,"Census Tract 12.01, Philadelphia County, Pennsylvania","42101001201","327555","30728",,,,,,,,0
"ACSSF","pa","140","00","0008829",,,,,"42","101",,,"001203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101001203","Census Tract 12.03",,,"Census Tract 12.03, Philadelphia County, Pennsylvania","42101001203","102414","0",,,,,,,,0
"ACSSF","pa","140","00","0008830",,,,,"42","101",,,"001204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101001204","Census Tract 12.04",,,"Census Tract 12.04, Philadelphia County, Pennsylvania","42101001204","206147","0",,,,,,,,0
"ACSSF","pa","140","00","0008831",,,,,"42","101",,,"001301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101001301","Census Tract 13.01",,,"Census Tract 13.01, Philadelphia County, Pennsylvania","42101001301","170288","0",,,,,,,,0
"ACSSF","pa","140","00","0008832",,,,,"42","101",,,"001302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101001302","Census Tract 13.02",,,"Census Tract 13.02, Philadelphia County, Pennsylvania","42101001302","556886","60583",,,,,,,,1957
"ACSSF","pa","140","00","0008833",,,,,"42","101",,,"001400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101001400","Census Tract 14",,,"Census Tract 14, Philadelphia County, Pennsylvania","42101001400","315833","0",,,,,,,,1947
"ACSSF","pa","140","00","0008834",,,,,"42","101",,,"001500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101001500","Census Tract 15",,,"Census Tract 15, Philadelphia County, Pennsylvania","42101001500","239383","0",,,,,,,,1948
"ACSSF","pa","140","00","0008835",,,,,"42","101",,,"001600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101001600","Census Tract 16",,,"Census Tract 16, Philadelphia County, Pennsylvania","42101001600","196389","0",,,,,,,,0
"ACSSF","pa","140","00","0008836",,,,,"42","101",,,"001700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101001700","Census Tract 17",,,"Census Tract 17, Philadelphia County, Pennsylvania","42101001700","212721","0",,,,,,,,0
"ACSSF","pa","140","00","0008837",,,,,"42","101",,,"001800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101001800","Census Tract 18",,,"Census Tract 18, Philadelphia County, Pennsylvania","42101001800","242440","0",,,,,,,,1941
"ACSSF","pa","140","00","0008838",,,,,"42","101",,,"001900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101001900","Census Tract 19",,,"Census Tract 19, Philadelphia County, Pennsylvania","42101001900","328328","0",,,,,,,,1967
"ACSSF","pa","140","00","0008839",,,,,"42","101",,,"002000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101002000","Census Tract 20",,,"Census Tract 20, Philadelphia County, Pennsylvania","42101002000","290083","0",,,,,,,,0
"ACSSF","pa","140","00","0008840",,,,,"42","101",,,"002100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101002100","Census Tract 21",,,"Census Tract 21, Philadelphia County, Pennsylvania","42101002100","237519","0",,,,,,,,1943
"ACSSF","pa","140","00","0008841",,,,,"42","101",,,"002200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101002200","Census Tract 22",,,"Census Tract 22, Philadelphia County, Pennsylvania","42101002200","228697","0",,,,,,,,0
"ACSSF","pa","140","00","0008842",,,,,"42","101",,,"002300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101002300","Census Tract 23",,,"Census Tract 23, Philadelphia County, Pennsylvania","42101002300","212379","0",,,,,,,,0
"ACSSF","pa","140","00","0008843",,,,,"42","101",,,"002400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101002400","Census Tract 24",,,"Census Tract 24, Philadelphia County, Pennsylvania","42101002400","535423","0",,,,,,,,0
"ACSSF","pa","140","00","0008844",,,,,"42","101",,,"002500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101002500","Census Tract 25",,,"Census Tract 25, Philadelphia County, Pennsylvania","42101002500","393627","0",,,,,,,,1961
"ACSSF","pa","140","00","0008845",,,,,"42","101",,,"002701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101002701","Census Tract 27.01",,,"Census Tract 27.01, Philadelphia County, Pennsylvania","42101002701","224842","0",,,,,,,,0
"ACSSF","pa","140","00","0008846",,,,,"42","101",,,"002702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101002702","Census Tract 27.02",,,"Census Tract 27.02, Philadelphia County, Pennsylvania","42101002702","367675","0",,,,,,,,0
"ACSSF","pa","140","00","0008847",,,,,"42","101",,,"002801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101002801","Census Tract 28.01",,,"Census Tract 28.01, Philadelphia County, Pennsylvania","42101002801","222950","0",,,,,,,,0
"ACSSF","pa","140","00","0008848",,,,,"42","101",,,"002802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101002802","Census Tract 28.02",,,"Census Tract 28.02, Philadelphia County, Pennsylvania","42101002802","362691","0",,,,,,,,0
"ACSSF","pa","140","00","0008849",,,,,"42","101",,,"002900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101002900","Census Tract 29",,,"Census Tract 29, Philadelphia County, Pennsylvania","42101002900","370256","0",,,,,,,,0
"ACSSF","pa","140","00","0008850",,,,,"42","101",,,"003001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101003001","Census Tract 30.01",,,"Census Tract 30.01, Philadelphia County, Pennsylvania","42101003001","226545","0",,,,,,,,0
"ACSSF","pa","140","00","0008851",,,,,"42","101",,,"003002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101003002","Census Tract 30.02",,,"Census Tract 30.02, Philadelphia County, Pennsylvania","42101003002","226952","0",,,,,,,,0
"ACSSF","pa","140","00","0008852",,,,,"42","101",,,"003100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101003100","Census Tract 31",,,"Census Tract 31, Philadelphia County, Pennsylvania","42101003100","395912","0",,,,,,,,1941
"ACSSF","pa","140","00","0008853",,,,,"42","101",,,"003200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101003200","Census Tract 32",,,"Census Tract 32, Philadelphia County, Pennsylvania","42101003200","491790","0",,,,,,,,0
"ACSSF","pa","140","00","0008854",,,,,"42","101",,,"003300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101003300","Census Tract 33",,,"Census Tract 33, Philadelphia County, Pennsylvania","42101003300","1063815","96702",,,,,,,,1944
"ACSSF","pa","140","00","0008855",,,,,"42","101",,,"003600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101003600","Census Tract 36",,,"Census Tract 36, Philadelphia County, Pennsylvania","42101003600","964586","0",,,,,,,,1953
"ACSSF","pa","140","00","0008856",,,,,"42","101",,,"003701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101003701","Census Tract 37.01",,,"Census Tract 37.01, Philadelphia County, Pennsylvania","42101003701","355619","0",,,,,,,,0
"ACSSF","pa","140","00","0008857",,,,,"42","101",,,"003702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101003702","Census Tract 37.02",,,"Census Tract 37.02, Philadelphia County, Pennsylvania","42101003702","247351","0",,,,,,,,0
"ACSSF","pa","140","00","0008858",,,,,"42","101",,,"003800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101003800","Census Tract 38",,,"Census Tract 38, Philadelphia County, Pennsylvania","42101003800","1089240","0",,,,,,,,0
"ACSSF","pa","140","00","0008859",,,,,"42","101",,,"003901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101003901","Census Tract 39.01",,,"Census Tract 39.01, Philadelphia County, Pennsylvania","42101003901","420397","0",,,,,,,,0
"ACSSF","pa","140","00","0008860",,,,,"42","101",,,"003902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101003902","Census Tract 39.02",,,"Census Tract 39.02, Philadelphia County, Pennsylvania","42101003902","452952","0",,,,,,,,0
"ACSSF","pa","140","00","0008861",,,,,"42","101",,,"004001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101004001","Census Tract 40.01",,,"Census Tract 40.01, Philadelphia County, Pennsylvania","42101004001","314911","0",,,,,,,,0
"ACSSF","pa","140","00","0008862",,,,,"42","101",,,"004002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101004002","Census Tract 40.02",,,"Census Tract 40.02, Philadelphia County, Pennsylvania","42101004002","344839","0",,,,,,,,0
"ACSSF","pa","140","00","0008863",,,,,"42","101",,,"004101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101004101","Census Tract 41.01",,,"Census Tract 41.01, Philadelphia County, Pennsylvania","42101004101","374000","0",,,,,,,,0
"ACSSF","pa","140","00","0008864",,,,,"42","101",,,"004103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101004103","Census Tract 41.03",,,"Census Tract 41.03, Philadelphia County, Pennsylvania","42101004103","190517","0",,,,,,,,0
"ACSSF","pa","140","00","0008865",,,,,"42","101",,,"004104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101004104","Census Tract 41.04",,,"Census Tract 41.04, Philadelphia County, Pennsylvania","42101004104","201337","0",,,,,,,,0
"ACSSF","pa","140","00","0008866",,,,,"42","101",,,"004201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101004201","Census Tract 42.01",,,"Census Tract 42.01, Philadelphia County, Pennsylvania","42101004201","337995","0",,,,,,,,0
"ACSSF","pa","140","00","0008867",,,,,"42","101",,,"004202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101004202","Census Tract 42.02",,,"Census Tract 42.02, Philadelphia County, Pennsylvania","42101004202","453345","0",,,,,,,,0
"ACSSF","pa","140","00","0008868",,,,,"42","101",,,"005400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101005400","Census Tract 54",,,"Census Tract 54, Philadelphia County, Pennsylvania","42101005400","1846263","530013",,,,,,,,1978
"ACSSF","pa","140","00","0008869",,,,,"42","101",,,"005500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101005500","Census Tract 55",,,"Census Tract 55, Philadelphia County, Pennsylvania","42101005500","1168597","12010",,,,,,,,1967
"ACSSF","pa","140","00","0008870",,,,,"42","101",,,"005600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101005600","Census Tract 56",,,"Census Tract 56, Philadelphia County, Pennsylvania","42101005600","840413","0",,,,,,,,1973
"ACSSF","pa","140","00","0008871",,,,,"42","101",,,"006000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101006000","Census Tract 60",,,"Census Tract 60, Philadelphia County, Pennsylvania","42101006000","1071395","0",,,,,,,,1955
"ACSSF","pa","140","00","0008872",,,,,"42","101",,,"006100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101006100","Census Tract 61",,,"Census Tract 61, Philadelphia County, Pennsylvania","42101006100","535234","0",,,,,,,,1960
"ACSSF","pa","140","00","0008873",,,,,"42","101",,,"006200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101006200","Census Tract 62",,,"Census Tract 62, Philadelphia County, Pennsylvania","42101006200","509635","0",,,,,,,,1941
"ACSSF","pa","140","00","0008874",,,,,"42","101",,,"006300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101006300","Census Tract 63",,,"Census Tract 63, Philadelphia County, Pennsylvania","42101006300","555597","0",,,,,,,,1951
"ACSSF","pa","140","00","0008875",,,,,"42","101",,,"006400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101006400","Census Tract 64",,,"Census Tract 64, Philadelphia County, Pennsylvania","42101006400","642367","16085",,,,,,,,0
"ACSSF","pa","140","00","0008876",,,,,"42","101",,,"006500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101006500","Census Tract 65",,,"Census Tract 65, Philadelphia County, Pennsylvania","42101006500","1114276","29457",,,,,,,,0
"ACSSF","pa","140","00","0008877",,,,,"42","101",,,"006600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101006600","Census Tract 66",,,"Census Tract 66, Philadelphia County, Pennsylvania","42101006600","651243","0",,,,,,,,0
"ACSSF","pa","140","00","0008878",,,,,"42","101",,,"006700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101006700","Census Tract 67",,,"Census Tract 67, Philadelphia County, Pennsylvania","42101006700","1001468","0",,,,,,,,0
"ACSSF","pa","140","00","0008879",,,,,"42","101",,,"007000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101007000","Census Tract 70",,,"Census Tract 70, Philadelphia County, Pennsylvania","42101007000","469586","0",,,,,,,,1942
"ACSSF","pa","140","00","0008880",,,,,"42","101",,,"007101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101007101","Census Tract 71.01",,,"Census Tract 71.01, Philadelphia County, Pennsylvania","42101007101","253257","0",,,,,,,,0
"ACSSF","pa","140","00","0008881",,,,,"42","101",,,"007102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101007102","Census Tract 71.02",,,"Census Tract 71.02, Philadelphia County, Pennsylvania","42101007102","415761","0",,,,,,,,0
"ACSSF","pa","140","00","0008882",,,,,"42","101",,,"007200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101007200","Census Tract 72",,,"Census Tract 72, Philadelphia County, Pennsylvania","42101007200","502743","0",,,,,,,,0
"ACSSF","pa","140","00","0008883",,,,,"42","101",,,"007300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101007300","Census Tract 73",,,"Census Tract 73, Philadelphia County, Pennsylvania","42101007300","386471","0",,,,,,,,0
"ACSSF","pa","140","00","0008884",,,,,"42","101",,,"007400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101007400","Census Tract 74",,,"Census Tract 74, Philadelphia County, Pennsylvania","42101007400","676057","0",,,,,,,,0
"ACSSF","pa","140","00","0008885",,,,,"42","101",,,"007700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101007700","Census Tract 77",,,"Census Tract 77, Philadelphia County, Pennsylvania","42101007700","322266","0",,,,,,,,0
"ACSSF","pa","140","00","0008886",,,,,"42","101",,,"007800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101007800","Census Tract 78",,,"Census Tract 78, Philadelphia County, Pennsylvania","42101007800","426722","0",,,,,,,,0
"ACSSF","pa","140","00","0008887",,,,,"42","101",,,"007900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101007900","Census Tract 79",,,"Census Tract 79, Philadelphia County, Pennsylvania","42101007900","377951","0",,,,,,,,0
"ACSSF","pa","140","00","0008888",,,,,"42","101",,,"008000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101008000","Census Tract 80",,,"Census Tract 80, Philadelphia County, Pennsylvania","42101008000","430891","0",,,,,,,,0
"ACSSF","pa","140","00","0008889",,,,,"42","101",,,"008101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101008101","Census Tract 81.01",,,"Census Tract 81.01, Philadelphia County, Pennsylvania","42101008101","243881","0",,,,,,,,0
"ACSSF","pa","140","00","0008890",,,,,"42","101",,,"008102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101008102","Census Tract 81.02",,,"Census Tract 81.02, Philadelphia County, Pennsylvania","42101008102","362526","0",,,,,,,,0
"ACSSF","pa","140","00","0008891",,,,,"42","101",,,"008200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101008200","Census Tract 82",,,"Census Tract 82, Philadelphia County, Pennsylvania","42101008200","832282","11202",,,,,,,,0
"ACSSF","pa","140","00","0008892",,,,,"42","101",,,"008301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101008301","Census Tract 83.01",,,"Census Tract 83.01, Philadelphia County, Pennsylvania","42101008301","510556","6714",,,,,,,,1942
"ACSSF","pa","140","00","0008893",,,,,"42","101",,,"008302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101008302","Census Tract 83.02",,,"Census Tract 83.02, Philadelphia County, Pennsylvania","42101008302","425236","0",,,,,,,,1942
"ACSSF","pa","140","00","0008894",,,,,"42","101",,,"008400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101008400","Census Tract 84",,,"Census Tract 84, Philadelphia County, Pennsylvania","42101008400","501763","0",,,,,,,,1941
"ACSSF","pa","140","00","0008895",,,,,"42","101",,,"008500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101008500","Census Tract 85",,,"Census Tract 85, Philadelphia County, Pennsylvania","42101008500","621445","0",,,,,,,,0
"ACSSF","pa","140","00","0008896",,,,,"42","101",,,"008601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101008601","Census Tract 86.01",,,"Census Tract 86.01, Philadelphia County, Pennsylvania","42101008601","252482","0",,,,,,,,0
"ACSSF","pa","140","00","0008897",,,,,"42","101",,,"008602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101008602","Census Tract 86.02",,,"Census Tract 86.02, Philadelphia County, Pennsylvania","42101008602","369141","0",,,,,,,,1953
