Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,PCT_SE_A03001_002,PCT_SE_A03001_003,PCT_SE_A03001_004,PCT_SE_A03001_005,PCT_SE_A03001_006,PCT_SE_A03001_007,PCT_SE_A03001_008
"42101030200","Census Tract 302, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009097",,,,,"42","101",,,"030200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101030200","Census Tract 302",,,,8697,1861,4305,27,161,0,1486,857,21.4,49.5,0.31,1.85,0,17.09,9.85
"42101030501","Census Tract 305.01, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009098",,,,,"42","101",,,"030501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101030501","Census Tract 305.01",,,,5104,436,3266,12,273,0,758,359,8.54,63.99,0.24,5.35,0,14.85,7.03
"42101030502","Census Tract 305.02, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009099",,,,,"42","101",,,"030502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101030502","Census Tract 305.02",,,,7469,1491,3307,17,464,0,678,1512,19.96,44.28,0.23,6.21,0,9.08,20.24
"42101030600","Census Tract 306, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009100",,,,,"42","101",,,"030600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101030600","Census Tract 306",,,,7058,2940,2443,0,453,0,873,349,41.65,34.61,0,6.42,0,12.37,4.94
"42101030700","Census Tract 307, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009101",,,,,"42","101",,,"030700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101030700","Census Tract 307",,,,4596,1474,1964,50,182,0,313,613,32.07,42.73,1.09,3.96,0,6.81,13.34
"42101030800","Census Tract 308, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009102",,,,,"42","101",,,"030800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101030800","Census Tract 308",,,,5443,2378,1127,0,785,0,569,584,43.69,20.71,0,14.42,0,10.45,10.73
"42101030900","Census Tract 309, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009103",,,,,"42","101",,,"030900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101030900","Census Tract 309",,,,4425,1490,1943,0,284,0,244,464,33.67,43.91,0,6.42,0,5.51,10.49
"42101031000","Census Tract 310, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009104",,,,,"42","101",,,"031000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101031000","Census Tract 310",,,,8135,3915,1665,270,1416,0,241,628,48.13,20.47,3.32,17.41,0,2.96,7.72
"42101031101","Census Tract 311.01, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009105",,,,,"42","101",,,"031101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101031101","Census Tract 311.01",,,,4748,993,1713,0,724,0,871,447,20.91,36.08,0,15.25,0,18.34,9.41
"42101031102","Census Tract 311.02, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009106",,,,,"42","101",,,"031102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101031102","Census Tract 311.02",,,,4560,859,2166,144,164,0,1028,199,18.84,47.5,3.16,3.6,0,22.54,4.36
"42101031200","Census Tract 312, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009107",,,,,"42","101",,,"031200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101031200","Census Tract 312",,,,5319,998,3479,0,204,0,536,102,18.76,65.41,0,3.84,0,10.08,1.92
"42101031300","Census Tract 313, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009108",,,,,"42","101",,,"031300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101031300","Census Tract 313",,,,7700,2679,1836,0,1383,0,1105,697,34.79,23.84,0,17.96,0,14.35,9.05
"42101031401","Census Tract 314.01, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009109",,,,,"42","101",,,"031401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101031401","Census Tract 314.01",,,,7969,2982,1254,51,1264,0,1638,780,37.42,15.74,0.64,15.86,0,20.55,9.79
"42101031402","Census Tract 314.02, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009110",,,,,"42","101",,,"031402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101031402","Census Tract 314.02",,,,6426,1837,789,14,2038,0,1033,715,28.59,12.28,0.22,31.71,0,16.08,11.13
"42101031501","Census Tract 315.01, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009111",,,,,"42","101",,,"031501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101031501","Census Tract 315.01",,,,7359,4096,190,0,2716,0,179,178,55.66,2.58,0,36.91,0,2.43,2.42
"42101031502","Census Tract 315.02, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009112",,,,,"42","101",,,"031502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101031502","Census Tract 315.02",,,,3758,1376,539,0,1067,0,318,458,36.62,14.34,0,28.39,0,8.46,12.19
"42101031600","Census Tract 316, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0009113",,,,,"42","101",,,"031600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101031600","Census Tract 316",,,,6746,2979,1789,0,1281,0,450,247,44.16,26.52,0,18.99,0,6.67,3.66
